# Weather station Betul, India, WMO_ID=42860,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42860&lang=en
#
"Local time in Betul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.04.2016 17:30";"38.4";"700.2";"751.3";"";"33";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"41.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"19.2";"";"";"";"";"";"";
"27.04.2016 08:30";"29.8";"701.8";"754.7";"";"38";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"22.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.8";"";"";"";"";"";"";
"26.04.2016 17:30";"37.2";"700.9";"752.3";"";"25";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"41.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.8";"";"";"";"";"";"";
"26.04.2016 08:30";"27.6";"703.3";"756.7";"";"39";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.9";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"25.04.2016 17:30";"38.4";"698.5";"749.6";"";"17";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.5";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"25.04.2016 08:30";"29.2";"700.8";"753.7";"";"33";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.7";"";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"24.04.2016 17:30";"37.4";"697.7";"748.9";"";"17";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"24.04.2016 08:30";"28.4";"699.9";"752.6";"";"38";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"23.04.2016 17:30";"36.6";"698.4";"749.9";"";"25";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"23.04.2016 08:30";"27.0";"701.1";"753.3";"";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.2";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"22.04.2016 17:30";"38.8";"698.2";"749.2";"";"13";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"10.0";"5.7";"";"";"";"";"";"";
"22.04.2016 08:30";"30.6";"704.6";"757.5";"";"30";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"21.04.2016 17:30";"38.8";"699.2";"750.4";"";"17";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"41.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.0";"";"";"";"";"";"";
"21.04.2016 08:30";"31.0";"702.4";"755.1";"";"28";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"25.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.6";"";"";"";"";"";"";
"20.04.2016 17:30";"39.4";"700.1";"751.1";"";"11";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"3.4";"";"";"";"";"";"";
"20.04.2016 08:30";"31.2";"703.4";"756.1";"";"35";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"23.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.1";"";"";"";"";"";"";
"19.04.2016 17:30";"38.8";"699.8";"751.0";"";"36";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"42.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"21.2";"";"";"";"";"";"";
"19.04.2016 08:30";"29.4";"702.6";"755.5";"";"37";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"18.04.2016 17:30";"39.4";"699.4";"750.4";"";"28";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"40.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"17.9";"";"";"";"";"";"";
"18.04.2016 08:30";"27.0";"702.7";"756.1";"";"41";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"17.04.2016 17:30";"38.4";"699.1";"750.3";"";"29";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"40.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"17.3";"";"";"";"";"";"";
"17.04.2016 08:30";"27.4";"701.3";"754.6";"";"43";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"16.04.2016 08:30";"27.4";"701.7";"754.9";"";"33";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"9.9";"";"";"";"";"";"";
"15.04.2016 17:30";"38.4";"699.5";"750.5";"";"26";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"42.7";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"15.04.2016 08:30";"28.8";"702.9";"756.1";"";"29";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"14.04.2016 08:30";"27.2";"702.1";"755.4";"";"32";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"13.04.2016 17:30";"37.2";"698.2";"749.5";"";"15";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.8";"";"";"";"";"";"10.0";"6.2";"";"";"";"";"";"";
"13.04.2016 08:30";"28.4";"700.6";"753.6";"";"25";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"20.9";"";"";"";"";"";"";"10.0";"6.3";"";"";"";"";"";"";
"12.04.2016 17:30";"37.4";"700.3";"751.7";"";"19";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"12.04.2016 08:30";"27.6";"704.7";"755.8";"";"100";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"27.6";"";"";"";"";"";"";
"11.04.2016 17:30";"37.6";"701.2";"752.7";"";"17";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"38.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"8.9";"";"";"";"";"";"";
"11.04.2016 08:30";"26.0";"704.0";"757.6";"";"45";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"21.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.2";"";"";"";"";"";"";
"10.04.2016 17:30";"37.8";"701.3";"752.8";"";"18";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"38.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"9.8";"";"";"";"";"";"";
"10.04.2016 08:30";"26.4";"704.1";"757.7";"";"41";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"20.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.1";"";"";"";"";"";"";
"09.04.2016 17:30";"38.2";"701.1";"752.4";"";"21";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"38.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.0";"";"";"";"";"";"";
"09.04.2016 08:30";"25.0";"703.0";"756.7";"";"44";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.2";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"08.04.2016 17:30";"37.4";"700.0";"751.3";"";"20";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"38.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.7";"";"";"";"";"";"";
"08.04.2016 08:30";"24.6";"703.7";"757.7";"";"57";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"19.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"15.4";"";"";"";"";"";"";
"07.04.2016 17:30";"36.6";"701.3";"753.0";"";"22";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"39.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"11.3";"";"";"";"";"";"";
"07.04.2016 08:30";"28.4";"704.1";"757.3";"";"42";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.1";"";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"06.04.2016 17:30";"37.6";"700.4";"751.8";"";"20";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"39.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"11.0";"";"";"";"";"";"";
"06.04.2016 08:30";"28.2";"703.7";"757.0";"";"42";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"21.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.1";"";"";"";"";"";"";
"05.04.2016 17:30";"33.0";"701.4";"753.6";"";"34";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"38.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"14.9";"";"";"";"";"";"";
"05.04.2016 08:30";"25.4";"701.5";"755.2";"";"48";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.7";"";"";"";"";"";"";
"04.04.2016 17:30";"38.4";"699.6";"750.7";"";"18";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"40.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.3";"";"";"";"";"";"";
"04.04.2016 08:30";"28.2";"703.0";"756.1";"";"41";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"20.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.7";"";"";"";"";"";"";
"03.04.2016 17:30";"38.6";"701.3";"752.6";"";"19";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.7";"";"";"";"";"";"";
"02.04.2016 17:30";"38.8";"700.3";"751.4";"";"21";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"40.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.6";"";"";"";"";"";"";
"02.04.2016 08:30";"25.6";"703.0";"756.7";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"01.04.2016 17:30";"37.8";"699.7";"751.0";"";"21";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"01.04.2016 08:30";"24.2";"702.7";"756.6";"";"33";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"31.03.2016 17:30";"37.0";"700.7";"752.2";"";"17";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"39.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"7.7";"";"";"";"";"";"";
"31.03.2016 08:30";"24.8";"704.6";"758.6";"";"43";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"30.03.2016 17:30";"37.2";"701.8";"753.3";"";"13";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"39.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"4.9";"";"";"";"";"";"";
"30.03.2016 08:30";"22.6";"704.8";"759.2";"";"46";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"29.03.2016 17:30";"37.2";"701.4";"752.8";"";"18";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"29.03.2016 08:30";"22.2";"704.4";"758.8";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"28.03.2016 17:30";"35.2";"701.0";"752.8";"";"28";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"36.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.8";"";"";"";"";"";"";
"28.03.2016 08:30";"21.2";"704.8";"759.4";"";"74";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.7";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"27.03.2016 17:30";"29.6";"701.2";"754.1";"";"51";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"35.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"18.5";"";"";"";"";"";"";
"27.03.2016 08:30";"22.8";"703.5";"757.8";"";"72";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"19.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"17.5";"";"";"";"";"";"";
"26.03.2016 17:30";"38.4";"701.7";"753.0";"";"18";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"40.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.3";"";"";"";"";"";"";
"26.03.2016 08:30";"23.2";"705.1";"759.4";"";"40";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"19.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"9.0";"";"";"";"";"";"";
"25.03.2016 17:30";"38.2";"702.7";"754.1";"";"10";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.4";"";"";"";"";"";"10.0";"2.1";"";"";"";"";"";"";
"25.03.2016 08:30";"24.4";"705.9";"760.0";"";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"17.3";"";"";"";"";"";"";"10.0";"5.7";"";"";"";"";"";"";
"24.03.2016 17:30";"37.4";"703.8";"755.5";"";"11";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"10.0";"2.4";"";"";"";"";"";"";
"24.03.2016 08:30";"22.4";"705.2";"759.7";"";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"6.3";"";"";"";"";"";"";
"23.03.2016 17:30";"34.4";"701.8";"753.7";"";"14";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"10.0";"3.5";"";"";"";"";"";"";
"23.03.2016 08:30";"25.0";"703.7";"757.5";"";"21";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.3";"";"";"";"";"";"";"10.0";"1.1";"";"";"";"";"";"";
"22.03.2016 17:30";"34.4";"700.8";"752.8";"";"16";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.3";"";"";"";"";"";"10.0";"4.9";"";"";"";"";"";"";
"22.03.2016 08:30";"20.6";"703.2";"757.9";"";"45";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"21.03.2016 17:30";"34.6";"701.1";"753.1";"";"14";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.7";"";"";"";"";"";"10.0";"3.3";"";"";"";"";"";"";
"21.03.2016 08:30";"23.4";"697.7";"757.9";"";"34";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"16.3";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"20.03.2016 17:30";"34.8";"701.8";"753.8";"";"17";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.3";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"20.03.2016 08:30";"25.2";"704.4";"758.2";"";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"19.03.2016 17:30";"34.6";"701.5";"753.4";"";"20";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"19.03.2016 08:30";"23.0";"703.9";"758.2";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"18.03.2016 17:30";"35.8";"700.8";"752.6";"";"25";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"18.03.2016 08:30";"23.0";"705.8";"760.1";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"17.03.2016 17:30";"34.2";"701.2";"753.1";"";"26";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"36.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"12.3";"";"";"";"";"";"";
"17.03.2016 08:30";"23.0";"704.2";"758.5";"";"43";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"9.6";"";"";"";"";"";"";
