# Weather station Sheopur, India, WMO_ID=42456,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42456&lang=en
#
"Local time in Sheopur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.05.2016 17:30";"41.6";"732.0";"750.9";"";"29";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"42.4";"";"";"2000-2500";"";"";"4.0";"20.2";"";"";"";"";"";"";
"31.05.2016 08:30";"32.0";"734.3";"753.9";"";"53";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"30.05.2016 17:30";"36.4";"731.3";"750.5";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"30.05.2016 08:30";"31.0";"736.7";"756.4";"";"62";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"29.05.2016 17:30";"41.4";"730.1";"749.0";"";"26";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"42.0";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"29.05.2016 08:30";"32.8";"733.5";"753.0";"";"42";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"29.8";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"28.05.2016 17:30";"42.0";"729.8";"748.6";"";"21";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"42.4";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"28.05.2016 08:30";"35.0";"734.1";"753.5";"";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"31.4";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"27.05.2016 08:30";"35.0";"734.1";"753.5";"";"43";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"33.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.8";"";"";"";"";"";"";
"26.05.2016 17:30";"43.0";"729.5";"748.3";"";"20";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"43.4";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"26.05.2016 08:30";"34.4";"732.8";"752.2";"";"50";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"30.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"25.05.2016 17:30";"43.6";"727.4";"746.1";"";"11";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"43.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.6";"";"";"";"";"";"";
"25.05.2016 08:30";"35.0";"732.2";"751.5";"";"42";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"33.0";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"24.05.2016 17:30";"41.4";"729.1";"747.9";"";"22";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"42.0";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"24.05.2016 08:30";"30.0";"734.3";"754.0";"";"53";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"23.05.2016 17:30";"42.4";"728.8";"747.6";"";"20";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"43.4";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"23.05.2016 08:30";"34.6";"732.6";"752.0";"";"47";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"33.4";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"22.05.2016 17:30";"44.0";"728.6";"747.3";"";"17";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"45.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.1";"";"";"";"";"";"";
"22.05.2016 08:30";"36.4";"732.0";"751.2";"";"43";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"33.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.9";"";"";"";"";"";"";
"21.05.2016 17:30";"45.0";"726.7";"745.3";"";"12";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"46.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.2";"";"";"";"";"";"";
"21.05.2016 08:30";"37.0";"730.1";"749.2";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"33.4";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"20.05.2016 17:30";"45.6";"725.7";"744.2";"";"14";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"47.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.9";"";"";"";"";"";"";
"20.05.2016 08:30";"37.0";"729.4";"748.5";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"31.6";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"19.05.2016 17:30";"46.8";"727.2";"745.7";"";"13";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"48.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.7";"";"";"";"";"";"";
"19.05.2016 08:30";"37.0";"731.2";"750.4";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"31.4";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"18.05.2016 17:30";"46.4";"728.0";"746.5";"";"12";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"46.8";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"18.05.2016 08:30";"35.0";"731.3";"750.6";"";"29";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"17.05.2016 17:30";"44.4";"728.9";"747.6";"";"14";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"46.0";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"17.05.2016 08:30";"35.0";"733.4";"752.8";"";"32";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"27.6";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"16.05.2016 17:30";"44.0";"730.3";"749.0";"";"18";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"45.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"15.1";"";"";"";"";"";"";
"16.05.2016 08:30";"35.0";"734.0";"753.4";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"30.0";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"15.05.2016 17:30";"43.0";"732.0";"750.8";"";"19";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"43.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"14.9";"";"";"";"";"";"";
"15.05.2016 08:30";"36.0";"735.6";"755.0";"";"33";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"29.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.5";"";"";"";"";"";"";
"14.05.2016 17:30";"41.4";"732.5";"751.4";"";"22";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"44.4";"";"";"2000-2500";"";"";"4.0";"16.0";"";"";"";"";"";"";
"14.05.2016 08:30";"34.0";"735.7";"755.2";"";"29";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"28.6";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"13.05.2016 17:30";"43.2";"731.0";"749.8";"";"21";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"43.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.1";"";"";"";"";"";"";
"13.05.2016 08:30";"34.0";"734.3";"753.7";"";"35";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"28.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.4";"";"";"";"";"";"";
"12.05.2016 17:30";"43.4";"730.4";"749.2";"";"15";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"43.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.9";"";"";"";"";"";"";
"12.05.2016 08:30";"32.0";"735.2";"754.8";"";"45";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"11.05.2016 17:30";"40.6";"733.3";"752.3";"";"27";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.4";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"11.05.2016 08:30";"31.4";"737.5";"757.2";"";"48";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"26.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.2";"";"";"";"";"";"";
"10.05.2016 17:30";"36.0";"734.2";"753.5";"";"38";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"41.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"19.5";"";"";"";"";"";"";
"10.05.2016 08:30";"30.4";"737.5";"757.3";"";"36";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"26.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.8";"";"";"";"";"";"";
"09.05.2016 17:30";"40.0";"731.8";"750.8";"";"22";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"";"43.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"14.7";"";"";"";"";"";"";
"09.05.2016 08:30";"33.0";"736.6";"756.2";"";"39";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"28.4";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"08.05.2016 17:30";"41.6";"732.9";"751.8";"";"24";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"43.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"17.1";"";"";"";"";"";"";
"08.05.2016 08:30";"34.4";"736.8";"756.3";"";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"07.05.2016 08:30";"30.4";"736.8";"756.5";"";"39";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"06.05.2016 17:30";"38.0";"733.3";"752.5";"";"21";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"39.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.3";"";"";"";"";"";"";
"06.05.2016 08:30";"29.4";"737.5";"757.3";"";"48";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"05.05.2016 17:30";"40.0";"733.3";"752.3";"";"20";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"05.05.2016 08:30";"32.2";"736.7";"756.3";"";"36";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.1";"";"";"";"";"";"";
"04.05.2016 08:30";"31.4";"735.8";"755.5";"";"40";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"03.05.2016 17:30";"41.4";"733.1";"752.0";"";"17";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"42.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.5";"";"";"";"";"";"";
"03.05.2016 08:30";"34.0";"735.7";"755.2";"";"29";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"27.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.7";"";"";"";"";"";"";
"02.05.2016 17:30";"41.0";"732.5";"751.5";"";"19";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"43.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.9";"";"";"";"";"";"";
"02.05.2016 08:30";"33.0";"735.8";"755.4";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"01.05.2016 17:30";"42.8";"732.5";"751.3";"";"14";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"44.0";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"01.05.2016 08:30";"33.0";"735.9";"755.5";"";"25";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"30.04.2016 17:30";"42.0";"733.1";"752.0";"";"11";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"43.0";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"30.04.2016 08:30";"30.0";"735.8";"755.5";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"29.04.2016 17:30";"41.4";"734.1";"753.1";"";"13";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"42.8";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"29.04.2016 08:30";"31.0";"736.8";"756.5";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"28.04.2016 17:30";"41.4";"733.4";"752.4";"";"18";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"42.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.6";"";"";"";"";"";"";
"28.04.2016 08:30";"30.4";"736.8";"756.5";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"27.04.2016 17:30";"40.0";"734.0";"753.1";"";"16";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"42.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.9";"";"";"";"";"";"";
"27.04.2016 08:30";"32.2";"736.8";"756.4";"";"29";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"26.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.9";"";"";"";"";"";"";
"26.04.2016 17:30";"38.4";"735.7";"754.9";"";"17";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"40.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"9.2";"";"";"";"";"";"";
"26.04.2016 08:30";"31.4";"737.6";"757.3";"";"31";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.1";"";"";"";"";"";"";
"25.04.2016 17:30";"40.0";"733.4";"752.4";"";"18";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"41.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.1";"";"";"";"";"";"";
"25.04.2016 08:30";"30.0";"734.7";"754.4";"";"23";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"23.8";"";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
"24.04.2016 17:30";"39.4";"732.2";"751.2";"";"17";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"40.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.9";"";"";"";"";"";"";
"24.04.2016 08:30";"29.0";"734.8";"754.6";"";"24";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
"23.04.2016 17:30";"37.8";"732.6";"751.8";"";"13";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"23.04.2016 08:30";"30.8";"734.6";"754.3";"";"30";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"22.04.2016 17:30";"38.6";"731.9";"751.0";"";"17";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.8";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"22.04.2016 08:30";"30.8";"735.4";"755.1";"";"26";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"21.04.2016 17:30";"39.4";"732.5";"751.6";"";"16";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"40.4";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"21.04.2016 08:30";"29.4";"737.0";"756.8";"";"30";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"20.04.2016 17:30";"38.6";"735.5";"754.7";"";"15";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"40.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.7";"";"";"";"";"";"";
"20.04.2016 08:30";"30.0";"738.4";"758.2";"";"30";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.4";"";"";"";"";"";"";
"19.04.2016 17:30";"40.4";"734.9";"754.0";"";"18";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"40.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.8";"";"";"";"";"";"";
"19.04.2016 08:30";"30.6";"737.0";"756.7";"";"34";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.8";"";"";"";"";"";"";
"18.04.2016 17:30";"38.4";"734.2";"753.4";"";"15";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"40.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.9";"";"";"";"";"";"";
"18.04.2016 08:30";"30.4";"737.5";"757.3";"";"32";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"17.04.2016 17:30";"38.6";"732.7";"751.8";"";"21";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"39.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.9";"";"";"";"";"";"";
"17.04.2016 08:30";"29.0";"735.4";"755.2";"";"35";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"11.8";"";"";"";"";"";"";
"16.04.2016 17:30";"40.4";"732.6";"751.6";"";"15";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.9";"";"";"";"";"";"";
"16.04.2016 08:30";"31.6";"736.9";"756.6";"";"25";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"15.04.2016 17:30";"41.0";"734.1";"753.1";"";"17";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.3";"";"";"";"";"";"";
"15.04.2016 08:30";"30.6";"737.6";"757.4";"";"28";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"14.04.2016 17:30";"40.0";"733.5";"752.5";"";"20";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"40.8";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"14.04.2016 08:30";"30.0";"736.1";"755.9";"";"31";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"13.04.2016 17:30";"38.0";"732.7";"751.8";"";"14";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"13.04.2016 08:30";"27.4";"737.2";"757.2";"0.0";"35";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
