# Weather station Barmer, India, WMO_ID=42435,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42435&lang=en
#
"Local time in Barmer";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.12.2017 05:30";"10.6";"749.9";"767.5";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.8";"";"";"";"";"";"";
"15.12.2017 20:30";"18.0";"748.7";"765.8";"0.8";"79";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.2";"";"";"";"";"";"";
"15.12.2017 17:30";"22.4";"747.9";"764.8";"";"47";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.8";"";"";"";"";"";"2.0";"10.4";"";"";"";"";"";"";
"15.12.2017 11:30";"18.4";"750.0";"767.2";"0.7";"54";"Wind blowing from the north-west";"1";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.8";"";"";"";"";"";"";
"15.12.2017 08:30";"10.4";"749.3";"766.9";"1.8";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.4";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"15.12.2017 05:30";"10.4";"747.5";"765.1";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"14.12.2017 20:30";"16.8";"747.9";"765.1";"1.1";"68";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.9";"";"";"";"";"";"";
"14.12.2017 17:30";"21.2";"746.8";"763.7";"-0.6";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.2";"";"";"";"";"";"2.0";"11.5";"";"";"";"";"";"";
"14.12.2017 14:30";"23.4";"747.4";"764.2";"-1.7";"44";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"14.12.2017 11:30";"18.8";"749.1";"766.2";"1.0";"55";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"14.12.2017 08:30";"11.2";"748.1";"765.6";"1.5";"90";"Wind blowing from the north-west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.4";"";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"14.12.2017 05:30";"12.2";"746.6";"764.1";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.3";"";"";"";"";"";"";
"13.12.2017 20:30";"16.4";"746.2";"763.4";"0.9";"62";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"13.12.2017 17:30";"22.4";"745.3";"762.1";"-0.3";"44";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.5";"";"";"";"";"";"";
"13.12.2017 14:30";"25.6";"745.6";"762.2";"-1.8";"28";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"13.12.2017 11:30";"23.0";"747.4";"764.2";"0.6";"43";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.8";"";"";"";"";"";"";
"13.12.2017 08:30";"11.4";"746.8";"764.3";"1.0";"76";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.7";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"13.12.2017 05:30";"11.0";"745.8";"763.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"12.12.2017 20:30";"16.4";"745.4";"762.6";"1.0";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"12.12.2017 17:30";"22.2";"744.4";"761.2";"-0.5";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"12.12.2017 14:30";"25.4";"744.9";"761.5";"-2.0";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"12.12.2017 11:30";"20.0";"746.9";"763.9";"1.0";"61";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"12.12.2017 08:30";"11.2";"745.9";"763.4";"1.4";"95";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.2";"";"";"";"";"";"";"2.0";"10.4";"";"";"";"";"";"";
"12.12.2017 05:30";"10.8";"744.5";"762.0";"";"95";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.0";"";"";"";"";"";"";
"11.12.2017 20:30";"18.0";"744.4";"761.4";"-2.0";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"13.0";"";"";"";"";"";"";
"11.12.2017 17:30";"21.6";"746.4";"763.3";"3.5";"58";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.8";"";"";"";"";"";"2.0";"12.9";"";"";"";"";"";"";
"11.12.2017 14:30";"23.0";"742.9";"759.6";"-2.1";"62";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"11.12.2017 11:30";"20.0";"745.0";"761.9";"0.4";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"11.12.2017 08:30";"15.0";"744.6";"761.8";"1.3";"72";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"13.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.0";"";"";"";"";"";"";
"11.12.2017 05:30";"15.0";"743.3";"760.5";"";"77";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"10.9";"";"";"";"";"";"";
"10.12.2017 20:30";"20.0";"744.6";"761.5";"1.2";"86";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.5";"";"";"";"";"";"";
"10.12.2017 17:30";"22.0";"743.4";"760.2";"-0.4";"86";"Wind blowing from the north-east";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"24.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.5";"";"";"";"";"";"";
"10.12.2017 14:30";"21.4";"743.8";"760.6";"-2.5";"87";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"10.12.2017 11:30";"24.4";"746.3";"763.0";"1.6";"53";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.3";"";"";"";"";"";"";
"10.12.2017 08:30";"20.0";"744.7";"761.6";"1.0";"64";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"19.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.0";"";"";"";"";"";"";
"10.12.2017 05:30";"20.2";"743.7";"760.6";"";"63";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.8";"";"";"";"";"";"";
"09.12.2017 20:30";"23.4";"744.2";"760.9";"1.2";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"09.12.2017 17:30";"28.0";"743.0";"759.4";"0.8";"52";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"31.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.2";"";"";"";"";"";"";
"09.12.2017 14:30";"";"742.2";"759.5";"-3.5";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"09.12.2017 11:30";"25.0";"745.7";"762.4";"0.1";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"09.12.2017 08:30";"16.6";"745.6";"762.8";"0.5";"48";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"13.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.4";"";"";"";"";"";"";
"09.12.2017 05:30";"14.0";"745.1";"762.4";"";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"08.12.2017 17:30";"26.0";"744.0";"760.6";"-0.8";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"08.12.2017 14:30";"28.6";"744.8";"761.3";"-2.5";"31";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"08.12.2017 11:30";"23.0";"747.3";"764.1";"0.1";"27";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.1";"";"";"";"";"";"";
"08.12.2017 08:30";"14.4";"747.2";"764.5";"0.6";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"0.3";"";"";"";"";"";"";
"08.12.2017 05:30";"13.0";"746.6";"764.0";"";"39";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-0.6";"";"";"";"";"";"";
"07.12.2017 20:30";"19.0";"746.4";"763.4";"1.3";"39";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"07.12.2017 17:30";"24.0";"745.1";"761.8";"-0.4";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"07.12.2017 14:30";"26.0";"745.5";"762.1";"-1.7";"23";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.4";"";"";"";"";"";"";
"07.12.2017 11:30";"23.0";"747.2";"764.0";"0.5";"26";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"2.4";"";"";"";"";"";"";
"07.12.2017 08:30";"12.4";"746.7";"764.1";"2.5";"42";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-0.2";"";"";"";"";"";"";
"07.12.2017 05:30";"14.0";"744.2";"761.5";"";"51";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.0";"";"";"";"";"";"";
"06.12.2017 20:30";"19.2";"744.7";"761.7";"0.7";"48";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.0";"";"";"";"";"";"";
"06.12.2017 17:30";"23.4";"744.0";"760.7";"-0.5";"42";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"25.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.9";"";"";"";"";"";"";
"06.12.2017 14:30";"24.4";"744.5";"761.2";"-2.1";"36";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.4";"";"";"";"";"";"";
"06.12.2017 11:30";"20.2";"746.6";"763.6";"0.9";"45";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.9";"";"";"";"";"";"";
"06.12.2017 08:30";"15.0";"745.7";"763.0";"1.3";"43";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"13.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"2.5";"";"";"";"";"";"";
"06.12.2017 05:30";"15.0";"744.4";"761.6";"";"43";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.5";"";"";"";"";"";"";
"05.12.2017 20:30";"21.4";"744.6";"761.5";"1.2";"41";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.5";"";"";"";"";"";"";
"05.12.2017 17:30";"24.6";"743.4";"760.0";"-0.5";"36";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"26.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.7";"";"";"";"";"";"";
"05.12.2017 14:30";"26.6";"743.9";"760.4";"-2.3";"33";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.2";"";"";"";"";"";"";
"05.12.2017 11:30";"22.2";"746.2";"763.0";"1.0";"38";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.1";"";"";"";"";"";"";
"05.12.2017 08:30";"15.4";"745.2";"762.4";"1.8";"49";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"14.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.8";"";"";"";"";"";"";
"05.12.2017 05:30";"15.6";"743.4";"760.6";"";"50";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"5.1";"";"";"";"";"";"";
"04.12.2017 20:30";"19.4";"744.7";"761.7";"2.0";"44";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.7";"";"";"";"";"";"";
"04.12.2017 17:30";"24.8";"742.7";"759.3";"-1.1";"33";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.4";"";"";"";"";"";"";
"04.12.2017 14:30";"27.4";"743.8";"760.3";"-2.2";"27";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.6";"";"";"";"";"";"";
"04.12.2017 11:30";"24.4";"746.0";"762.7";"0.1";"34";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.3";"";"";"";"";"";"";
"04.12.2017 08:30";"17.0";"745.9";"763.0";"1.5";"45";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"15.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.9";"";"";"";"";"";"";
"04.12.2017 05:30";"16.4";"744.4";"761.5";"";"51";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.2";"";"";"";"";"";"";
"03.12.2017 20:30";"20.2";"745.5";"762.4";"1.1";"50";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.3";"";"";"";"";"";"";
"03.12.2017 17:30";"25.6";"744.4";"761.0";"0.1";"40";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"29.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.1";"";"";"";"";"";"";
"03.12.2017 14:30";"28.4";"744.3";"760.8";"-2.3";"30";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.4";"";"";"";"";"";"";
