# Weather station Salem, India, WMO_ID=43325,selection from 11.07.2013 till 14.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43325&lang=en
#
"Local time in Salem";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.07.2014 08:30";"27.4";"732.4";"755.6";"";"70";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"22.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.4";"";"";"";"";"";"";
"22.07.2014 08:30";"27.0";"732.4";"755.6";"";"72";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"23.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"21.07.2014 08:30";"26.8";"732.4";"755.6";"";"71";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"20.07.2014 08:30";"28.0";"732.4";"755.5";"";"63";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"23.3";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.4";"";"";"";"";"";"";
"19.07.2014 08:30";"28.0";"732.6";"755.8";"";"63";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"20.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.4";"";"";"";"";"";"";
"18.07.2014 08:30";"28.0";"731.9";"755.1";"";"67";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.4";"";"";"";"";"";"";
"17.07.2014 08:30";"28.6";"731.9";"755.0";"";"60";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.1";"";"";"";"";"";"";
"16.07.2014 08:30";"27.6";"735.8";"754.8";"";"72";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"22.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.0";"";"";"";"";"";"";
"15.07.2014 08:30";"27.0";"730.6";"753.7";"";"70";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.0";"";"";"";"";"";"";
"14.07.2014 08:30";"27.0";"731.3";"754.5";"";"72";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"22.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"13.07.2014 08:30";"26.8";"731.1";"754.3";"";"68";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"22.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.4";"";"";"";"";"";"";
"12.07.2014 08:30";"28.0";"731.8";"755.0";"";"65";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"23.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.8";"";"";"";"";"";"";
"11.07.2014 08:30";"27.0";"732.8";"756.0";"";"71";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.3";"";"";"";"";"";"";
"10.07.2014 08:30";"27.4";"732.4";"755.6";"";"70";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"23.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"21.4";"";"";"";"";"";"";
"09.07.2014 08:30";"26.8";"731.8";"755.0";"";"71";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.1";"";"";"";"";"";"";
"08.07.2014 08:30";"28.2";"732.0";"755.1";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.3";"";"";"";"";"";"";
"07.07.2014 08:30";"29.0";"732.7";"755.8";"";"67";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"23.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.2";"";"";"";"";"";"";
"06.07.2014 08:30";"26.8";"732.7";"755.9";"";"78";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.7";"";"";"";"";"";"";
"05.07.2014 08:30";"28.6";"731.4";"754.5";"";"64";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"23.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"04.07.2014 08:30";"29.0";"731.5";"754.6";"";"58";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"24.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.9";"";"";"";"";"";"";
"03.07.2014 08:30";"29.0";"732.4";"755.5";"";"67";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"23.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"02.07.2014 08:30";"27.6";"733.3";"756.6";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.1";"";"";"";"";"";"";
"01.07.2014 08:30";"28.0";"732.9";"756.1";"";"73";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"24.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"";"10.0";"22.7";"";"";"";"";"";"";
"30.06.2014 08:30";"26.6";"732.3";"755.5";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"10.0";"24.3";"";"";"";"";"";"";
"29.06.2014 08:30";"27.0";"732.5";"755.8";"";"81";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"21.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"28.06.2014 08:30";"26.0";"734.0";"757.4";"";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Drizzle, not freezing, continuous, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.3";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.7";"";"";"";"";"";"";
"27.06.2014 08:30";"28.8";"733.3";"756.5";"";"74";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.6";"";"";"";"";"";"";
"26.06.2014 08:30";"28.6";"732.3";"755.4";"";"63";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"23.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"25.06.2014 08:30";"27.6";"731.5";"754.6";"";"73";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"24.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.3";"";"";"";"";"";"";
"24.06.2014 08:30";"28.4";"732.0";"755.1";"";"68";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"23.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.9";"";"";"";"";"";"";
"23.06.2014 08:30";"28.4";"733.9";"757.1";"";"70";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"23.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"22.06.2014 08:30";"26.4";"734.1";"757.4";"";"75";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"21.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"21.6";"";"";"";"";"";"";
"21.06.2014 08:30";"28.2";"732.4";"755.5";"";"70";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"23.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.3";"";"";"";"";"";"";
"20.06.2014 08:30";"28.8";"731.4";"754.5";"";"71";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"19.06.2014 08:30";"29.0";"730.9";"754.0";"";"71";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"24.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.2";"";"";"";"";"";"";
"18.06.2014 08:30";"29.0";"731.2";"754.3";"";"71";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"24.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.2";"";"";"";"";"";"";
"17.06.2014 08:30";"29.6";"731.4";"754.4";"";"62";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"16.06.2014 08:30";"28.4";"732.1";"755.2";"";"72";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"23.5";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"15.06.2014 08:30";"29.4";"732.5";"755.5";"";"67";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"14.06.2014 08:30";"30.0";"731.7";"754.7";"";"72";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.3";"";"";"";"";"";"";
"13.06.2014 08:30";"27.8";"731.2";"754.3";"";"70";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"23.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"12.06.2014 08:30";"29.0";"731.1";"754.1";"";"64";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"11.06.2014 08:30";"28.2";"731.5";"754.6";"";"69";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"23.3";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"10.06.2014 08:30";"27.4";"730.9";"754.0";"";"74";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"24.5";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.4";"";"";"";"";"";"";
"09.06.2014 08:30";"28.2";"729.9";"752.9";"";"73";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.9";"";"";"";"";"";"";
"08.06.2014 08:30";"28.6";"729.3";"752.3";"";"69";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"23.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.4";"";"";"";"";"";"";
"07.06.2014 08:30";"29.0";"729.7";"752.8";"";"64";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"23.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"06.06.2014 08:30";"28.4";"730.0";"753.1";"";"76";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"05.06.2014 08:30";"29.4";"730.2";"753.1";"";"71";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.6";"";"";"";"";"";"";
"04.06.2014 08:30";"28.8";"730.4";"753.4";"";"76";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"24.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.2";"";"";"";"";"";"";
"03.06.2014 08:30";"26.0";"731.4";"754.7";"";"76";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"21.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.5";"";"";"";"";"";"";
"02.06.2014 08:30";"29.8";"731.5";"754.6";"";"73";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"26.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.4";"";"";"";"";"";"";
"01.06.2014 08:30";"29.4";"730.9";"753.8";"";"64";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"24.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"31.05.2014 08:30";"30.0";"731.5";"754.5";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.7";"";"";"";"";"";"";
"30.05.2014 08:30";"28.4";"732.7";"755.8";"";"70";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.5";"";"";"";"";"";"";
"29.05.2014 08:30";"28.4";"733.3";"756.5";"";"70";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"22.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.5";"";"";"";"";"";"";
"28.05.2014 08:30";"28.8";"731.8";"754.9";"";"66";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"27.05.2014 08:30";"29.4";"733.0";"756.1";"";"68";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"26.05.2014 08:30";"28.8";"731.8";"754.9";"";"74";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"";"10.0";"23.6";"";"";"";"";"";"";
"25.05.2014 08:30";"28.0";"731.6";"754.8";"";"72";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.4";"";"";"";"";"";"";
"24.05.2014 08:30";"26.8";"731.5";"754.8";"";"74";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"21.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.7";"";"";"";"";"";"";
"23.05.2014 08:30";"27.4";"731.4";"754.6";"";"76";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"20.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"22.05.2014 08:30";"28.4";"732.0";"755.1";"";"64";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"21.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.9";"";"";"";"";"";"";
"21.05.2014 08:30";"28.8";"732.6";"755.7";"";"67";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.0";"";"";"";"";"";"";
"20.05.2014 08:30";"30.8";"733.0";"756.1";"";"67";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"26.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.9";"";"";"";"";"";"";
