"Local time in Sundernagar","T","Po","P","Pa","U","DD","Ff","ff10","ff3","N","WW","W1","W2","Tn","Tx","Cl","Nh","H","Cm","Ch","VV","Td","RRR","tR","E","Tg","E'","sss"," "
"20.05.2016 05:30","21.0","680.5","","","81","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","17.6","","","","","","",
"19.05.2016 23:30","24.6","680.3","","1.0","70","Calm, no wind","0","","","no clouds","Haze. ","Thunderstorm(s) with or without precipitation.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","18.7","","","","","","",
"19.05.2016 20:30","29.2","679.3","","0.8","50","Wind blowing from the south-east","1","","","50%.","Thunderstorm, but no precipitation at the time of observation. ","Thunderstorm(s) with or without precipitation.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","50%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","17.7","","","","","","",
"19.05.2016 17:30","35.8","678.5","","-1.3","31","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","38.3","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","16.2","","","","","","",
"19.05.2016 14:30","37.4","679.8","","-2.0","28","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","15.8","","","","","","",
"19.05.2016 11:30","32.8","681.8","","-0.5","40","Wind blowing from the north","1","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","1.0","17.4","","","","","","",
"19.05.2016 08:30","24.8","682.3","","1.7","65","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","18.1","","","","","","","2.0","17.7","","","","","","",
"19.05.2016 05:30","18.8","680.6","","0.8","74","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","14.1","","","","","","",
"19.05.2016 02:30","20.4","679.8","","-0.1","66","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","13.8","","","","","","",
"18.05.2016 23:30","23.0","679.9","","0.8","58","Calm, no wind","0","","","40%.","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","14.2","","","","","","",
"18.05.2016 20:30","27.0","679.1","","0.4","46","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","14.5","","","","","","",
"18.05.2016 17:30","35.6","678.7","","-1.0","27","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","38.2","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","14.0","","","","","","",
"18.05.2016 14:30","37.8","679.7","","-1.1","24","Wind blowing from the north-west","1","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","14.2","","","","","","",
"18.05.2016 11:30","32.0","680.8","","0.0","38","Wind blowing from the west-northwest","1","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","16.0","","","","","","",
"18.05.2016 08:30","25.2","680.8","","0.9","56","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","17.4","","","","","","","2.0","15.7","","","","","","",
"18.05.2016 05:30","18.2","679.9","","","74","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","13.5","","","","","","",
"18.05.2016 02:30","19.5","679.7","","-0.3","71","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","14.1","","","","","","",
"17.05.2016 23:30","22.5","680.0","","0.4","59","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","14.1","","","","","","",
"17.05.2016 20:30","26.4","679.6","","0.1","44","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","13.3","","","","","","",
"17.05.2016 17:30","34.0","679.5","","-1.1","27","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","36.6","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","12.4","","","","","","",
"17.05.2016 14:30","35.8","680.6","","-1.1","23","Wind blowing from the west-northwest","1","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","11.5","","","","","","",
"17.05.2016 11:30","31.0","681.7","","-0.3","36","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","14.2","","","","","","",
"17.05.2016 08:30","24.6","682.0","","0.6","54","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","16.7","","","","","","","2.0","14.6","","","","","","",
"17.05.2016 05:30","17.6","681.4","","-0.3","77","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","13.5","","","","","","",
"17.05.2016 02:30","19.2","681.7","","0.0","70","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","13.5","","","","","","",
"16.05.2016 23:30","21.3","681.7","","0.7","63","Calm, no wind","0","","","40%."," ","","","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","40%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","13.9","","","","","","",
"16.05.2016 20:30","25.0","681.0","","0.3","53","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","14.7","","","","","","",
"16.05.2016 17:30","32.0","680.7","","-0.5","28","Wind blowing from the east","1","","","10%  or less, but not 0","Haze. ","Thunderstorm(s) with or without precipitation.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","36.8","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","11.2","","","","","","",
"16.05.2016 14:30","35.8","681.2","","-1.3","24","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","12.5","","","","","","",
"16.05.2016 11:30","30.8","682.5","","-0.4","37","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","14.3","","","","","","",
"16.05.2016 08:30","24.4","682.9","","0.3","54","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","16.2","","","","","","","2.0","14.4","","","","","","",
"16.05.2016 05:30","17.0","682.6","","","79","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","13.3","","","","","","",
"15.05.2016 23:30","21.6","683.2","","-0.3","62","Wind blowing from the south-east","1","","","no clouds"," ","","","","","","","","","","4.0","14.0","","","","","","",
"15.05.2016 20:30","25.8","683.5","","0.6","49","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","14.4","","","","","","",
"15.05.2016 17:30","33.0","682.9","","-1.0","31","Wind blowing from the west","1","","","10%  or less, but not 0","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","35.9","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","13.9","","","","","","",
"15.05.2016 14:30","33.2","683.9","","-0.9","33","Calm, no wind","0","","","70 – 80%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","70 – 80%.","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","15.0","","","","","","",
"15.05.2016 11:30","31.4","684.8","","-0.3","36","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","14.5","","","","","","",
"15.05.2016 08:30","25.8","685.1","","1.6","45","Wind blowing from the south-east","1","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","17.5","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","13.0","","","","","","",
"15.05.2016 05:30","18.0","683.5","","","76","Calm, no wind","0","","","10%  or less, but not 0"," ","","","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","13.6","","","","","","",
"14.05.2016 23:30","22.2","683.8","","0.6","63","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","14.7","","","","","","",
"14.05.2016 20:30","26.0","683.2","","0.9","62","Wind blowing from the south-east","1","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","18.1","","","","","","",
"14.05.2016 17:30","33.6","682.3","","-0.7","35","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","36.1","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","16.2","","","","","","",
"14.05.2016 14:30","35.4","683.0","","","29","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","15.0","","","","","","",
"14.05.2016 11:30","31.2","684.2","","-0.1","37","Wind blowing from the north-northwest","1","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","14.9","","","","","","",
"14.05.2016 08:30","25.2","684.3","","1.7","60","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","18.1","","","","","","","2.0","16.8","","","","","","",
"14.05.2016 05:30","19.0","682.6","","0.2","82","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","15.8","","","","","","",
"14.05.2016 02:30","21.0","682.4","","-0.5","74","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","16.2","","","","","","",
"13.05.2016 23:30","26.4","682.9","","0.9","46","Wind blowing from the south","2","","","50%.","Lightning visible, no thunder heard. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","13.7","","","","","","",
"13.05.2016 20:30","25.4","682.0","","1.2","64","Wind blowing from the south-east","1","","","40%.","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","20–30%.","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","18.1","","","","","","",
"13.05.2016 17:30","32.6","680.8","","-1.1","39","Calm, no wind","0","","","20–30%.","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","35.2","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","16.8","","","","","","",
"13.05.2016 14:30","34.4","681.9","","-1.2","36","Wind blowing from the north-west","1","","","20–30%.","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","17.3","","","","","","",
"13.05.2016 11:30","29.0","683.1","","-0.2","46","Wind blowing from the north-west","1","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","16.3","","","","","","",
"13.05.2016 08:30","24.7","683.3","","1.3","55","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","17.3","","","","","","","2.0","14.9","","","","","","",
"13.05.2016 05:30","18.0","682.0","","0.2","85","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","15.5","","","","","","",
"13.05.2016 02:30","20.0","681.8","","0.2","82","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","16.8","","","","","","",
"12.05.2016 23:30","22.2","681.6","","-0.1","74","Calm, no wind","0","","","no clouds","Cloud development not observed or not observable. ","Thunderstorm(s) with or without precipitation.","Rain.","","","","","","","","4.0","17.3","","","","","","",
"12.05.2016 20:30","25.2","681.7","","1.1","73","Calm, no wind","0","","","100%.","Lightning visible, no thunder heard. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","20.0","","","","","","",
"12.05.2016 17:30","30.9","680.6","","-1.2","50","Calm, no wind","0","","","40%.","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","32.9","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","40%.","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","19.3","","","","","","",
"12.05.2016 14:30","31.4","681.8","","-1.2","47","Wind blowing from the north","1","","","40%.","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","40%.","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","18.9","","","","","","",
"12.05.2016 11:30","28.0","683.0","","-0.9","51","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","16.9","","","","","","",
"12.05.2016 08:30","21.4","683.9","","0.6","84","Wind blowing from the north","1","","","no clouds","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","15.2","","","","","","","2.0","18.5","","","","","","",
"12.05.2016 05:30","16.0","683.3","","","96","Calm, no wind","0","","","no clouds","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","0.5","15.3","","","","","","",
"11.05.2016 23:30","18.2","684.5","","0.7","93","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","17.1","","","","","","",
"11.05.2016 20:30","20.2","683.8","","0.0","86","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","17.7","","","","","","",
"11.05.2016 17:30","24.5","683.8","","-2.2","73","Calm, no wind","0","","","50%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","24.9","Stratocumulus other than Stratocumulus cumulogenitus.","20–30%.","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","19.3","","","","","","",
"11.05.2016 14:30","23.0","686.0","","-0.5","77","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","18.7","","","","","","",
"11.05.2016 11:30","21.6","686.5","","0.6","83","Calm, no wind","0","","","100%.","State of sky on the whole unchanged. ","Rain.","Drizzle.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","4.0","18.5","","","","","","",
"11.05.2016 08:30","19.2","685.9","","-3.1","91","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, slight at time of observation. ","Rain.","Drizzle.","16.7","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","17.6","","","","","","",
"11.05.2016 05:30","17.8","689.0","","3.5","100","Calm, no wind","0","","","100%.","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","70 – 80%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","17.8","","","","","","",
"11.05.2016 02:30","18.5","685.5","","0.4","99","Wind blowing from the south-east","2","","","100%.","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Thunderstorm(s) with or without precipitation.","Fog or ice fog or thick haze.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","70 – 80%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","18.3","","","","","","",
"10.05.2016 23:30","18.8","685.1","","0.2","96","Calm, no wind","0","","","100%.","Fog or ice fog in patches. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","0.5","18.2","","","","","","",
"10.05.2016 20:30","19.0","684.9","","-0.4","96","Wind blowing from the south-east","1","","","100%.","Mist. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","Altostratus opacus or Nimbostratus.","","1.0","18.4","","","","","","",
"10.05.2016 17:30","19.4","685.3","","-0.9","96","Calm, no wind","0","","","100%.","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","32.0","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","50%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","18.8","","","","","","",
"10.05.2016 14:30","23.8","686.2","","0.1","82","Wind blowing from the north-northeast","2","","","100%.","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","70 – 80%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","20.5","","","","","","",
"10.05.2016 11:30","30.7","686.1","","-0.3","49","Calm, no wind","0","","","Sky obscured by fog and/or other meteorological phenomena.","Haze. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","1.0","18.7","","","","","","",
"10.05.2016 08:30","24.0","686.4","","0.8","79","Calm, no wind","0","","","no clouds","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","20.1","","","","","","","1.0","20.1","","","","","","",
"10.05.2016 05:30","20.7","685.6","","0.3","91","Calm, no wind","0","","","60%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","19.1","","","","","","",
"10.05.2016 02:30","22.0","685.3","","0.9","86","Calm, no wind","0","","","60%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","20–30%.","1000-1500","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","19.6","","","","","","",
"09.05.2016 23:30","23.5","684.4","","0.2","79","Calm, no wind","0","","","70 – 80%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","20–30%.","1000-1500","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","19.7","","","","","","",
"09.05.2016 20:30","25.5","684.2","","0.6","73","Calm, no wind","0","","","70 – 80%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","20–30%.","1000-1500","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","20.3","","","","","","",
"09.05.2016 17:30","29.0","683.6","","-0.4","59","Wind blowing from the north-west","1","","","100%.","Haze. ","Thunderstorm(s) with or without precipitation.","Fog or ice fog or thick haze.","","33.9","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","Altostratus opacus or Nimbostratus.","","1.0","20.2","","","","","","",
